AbsoluteEntry	CountryCode	BankCode	BankName	SwiftNo	IBAN	PostOffice	DefaultBankAccountKey
AbsEntry	CountryCod	BankCode	BankName	SwiftNum	IBAN	PostOffice	DfltActKey
1	EC	0001	BANCO CENTRAL			N	
2	EC	0010	PICHINCHA			N	
3	EC	0017	GUAYAQUIL			N	
4	EC	0024	CITIBANK			N	
5	EC	0025	MACHALA			N	
6	EC	0029	LOJA			N	
7	EC	0030	PACIFICO			N	
8	EC	0032	INTERNACIONAL			N	
9	EC	0034	AMAZONAS			N	
10	EC	0035	AUSTRO			N	
11	EC	0036	PRODUBANCO			N	
12	EC	0037	BOLIVARIANO			N	
13	EC	0039	COMERCIAL DE MANABI			N	
14	EC	0042	RUMINAHUI			N	
15	EC	0043	DEL LITORAL			N	
16	EC	0059	SOLIDARIO			N	
17	EC	0060	BANCO PROCREDIT			N	
18	EC	0061	BANCO CAPITAL			N	
19	EC	0066	BANECUADOR B.P.			N	
20	EC	0085	MUTUALISTA IMBABURA			N	
21	EC	0086	MUTUALISTA PICHINCHA			N	
22	EC	0087	MUTUALISTA AMBATO			N	
23	EC	0088	MUTUALISTA AZUAY			N	
24	EC	0100	COOP. AHORRO Y CREDITO 15 DE ABRIL LTDA			N	
25	EC	0102	COOP. AHORRO Y CREDITO CARIAMANGA LTDA.			N	
26	EC	0103	COOP. AHORRO Y CREDITO PUELLARO LTDA			N	
27	EC	0105	COOP. DE A. Y C. 16 DE JUNIO			N	
28	EC	0106	COOP. DE A. Y C. 20 DE FEBRERO LTDA.			N	
29	EC	0107	COOP. DE A. Y C. 23 DE MAYO LTDA.			N	
30	EC	0108	COOP. DE A. Y C. MAQUITA CUSHUNCHIC LTDA.			N	
31	EC	0109	COOP. DE AHORRO Y CREDITO SAN FRANCISCO DE ASIS LT			N	
32	EC	0123	BANCO PARA LA ASISTENCIA COMUNITARIA FINCA S.A.			N	
33	EC	0124	COOP. AHORRO Y CREDITO MANANTIAL DE ORO LTDA.			N	
34	EC	0125	COOP. AHORRO Y CREDITO JUAN DE SALINAS LTDA.			N	
35	EC	0126	COOP. AHORRO Y CREDITO NUEVA JERUSALEN			N	
36	EC	0127	COOP. AHORRO Y CREDITO MALCHINGUI LTDA.			N	
37	EC	0129	COOP. AHORRO Y CREDITO AGRARIA MUSHUK KAWSAY LTDA.			N	
38	EC	0130	COOP. AHORRO Y CREDITO TENA LTDA.			N	
39	EC	0131	COOP. AHORRO Y CREDITO DE LA PEQUENA EMPRESA GUALA			N	
40	EC	0132	COOP. AHORRO Y CREDITO MI TIERRA			N	
41	EC	0133	COOP. DE AHORRO Y CREDITO DE LA PEQ. EMP. CACPE YA			N	
42	EC	0134	COOP. AHORRO Y CREDITO FUNDESARROLLO			N	
43	EC	0135	COOP. A Y C DE LA PEQ. EMP. CACPE ZAMORA LTDA.			N	
44	EC	0139	COOP. AHO Y CRED ALIANZA MINAS LTDA.			N	
45	EC	0140	ECUATORIANO DE LA VIVIENDA			N	
46	EC	0143	COOPERATIVA 9 DE OCTUBRE LTDA			N	
